sentence,offsets,correction,old_type,new_type,comment
"There were no discounts available like the advertisement had written .
",7 7,,M:OTHER,,
"At the end , the theatre resturant was closed for holiday !
",0 3,,R:OTHER,,
"So I decided to write you this letter to note that wrong informations and to ask for the restitution of the price of ticket or a part of that .
",9 12,,R:OTHER,,
"Your
",0 1,,R:OTHER,,
"So , in my opinion , new tecnology has changed , is changeing and will change my daily life , I hope that after my life is better .
",23 24,,R:OTHER,,
"The reason why I 'm writting to you is the class and I have seen an advertisment for the London Fashion and Leisure Show on Tuesday March 14 from 10.00 am - 19.00 p.m.
",32 33,,R:OTHER,,
"We all are interested in fashions and hairstyles and it is a great oppurtunity for as because students have not to pay and we will know what we can buy on our shopping tour .
",15 16,,R:OTHER,,
"We all are interested in fashions and hairstyles and it is a great oppurtunity for as because students have not to pay and we will know what we can buy on our shopping tour .
",18 20,,R:OTHER,,
"What are you thinking about this suggesten ?
",1 4,,R:OTHER,,
"I hope you will unterstand this kind of matter and the class and I looking forward to hearing from you .
",9 11,,R:OTHER,,
"Or never living the office you are able to heat the wather for a hot bath .
",1 2,,R:OTHER,,
"There will shown the latest fashions , leisure and sports wear , several additional attractions .
",0 1,,R:OTHER,,
"Although I went quickly to him and took him on my hands .
",0 1,,R:OTHER,,
"Now , when I consider about the events it 's clear for me that if I got a few minutes later probably would be to late .
",24 25,,R:OTHER,,
"You should ignore the dangerous if you convince you can save somebody his live .
",13 14,,R:OTHER,,
"I am a good swimmer and I had some expirience in photography however I have very much to learn .
",15 17,,R:OTHER,,
"How much money and clothes should I take with me ?
",4 4,,M:OTHER,,
"The jazz , rock and classical concerts were really entertaining except that there were some concert halls to small for the audience : I 'm sure that you can find bigger halls for next year .
",17 17,,M:OTHER,,
"The jazz , rock and classical concerts were really entertaining except that there were some concert halls to small for the audience : I 'm sure that you can find bigger halls for next year .
",17 18,,R:OTHER,,
"Even though , I do have less than you , I 'm still willing to change many things .
",11 14,,R:OTHER,,
"But there occure also problems if there are products left : either you ca n't decide between two things or your favourite product is too expensive .
",1 5,,R:OTHER,,
"I hope that it is what you wanted from me .
",2 3,,R:OTHER,,
"I have already read the programme , and I agree with that , I think that the class will like going to Sightseeing by bus and in the afternoon going to River trip to Greenwich , Also , they can visit Science Museum , and they can going to the shopping , on Wednesday 15 March they going to visit The National Art Gallery , really , I think that is good programme .
",9 11,,R:OTHER,,
"However , I think as well , that the class would like to visit "" The London Fashion and Leisure Show "" , is on Tuesday from 10.00 AM until 19.00 pm .
",4 22,,R:OTHER,,
"In addition , I think is a good a idea , because they could go after shopping , when they have a free time , I am sure about that , they will like to visit that place .
",0 3,,U:OTHER,,
"In addition , I think is a good a idea , because they could go after shopping , when they have a free time , I am sure about that , they will like to visit that place .
",15 17,,R:OTHER,,
"However , the programme could be changed just for a few hours , it is a great opportunity for everybody .
",0 3,,U:OTHER,,
"Your faithfully
",0 1,,R:OTHER,,
"My personal opinion about famous people , is good in one way and bad in another way .
",8 8,,M:OTHER,,
"I think that they live their life like hat , because they want to live this life .
",8 9,,R:OTHER,,
"They doing everything just for money , sometimes , they can make theirs life easier than they normally do .
",12 13,,R:OTHER,,
"Famous people , such as politicians and film stars , they live happy , because they know that the famous mean to be rich .
",18 19,,R:OTHER,,
"Your faithfully
",0 2,,U:OTHER,,
"Finally you wrote that "" your perfect evening out "" but after all this problems how would you expect the to have a perfect evening out .
",4 4,,M:OTHER,,
"They try so many things to find her family for one year they did everything to find her family but they could n't find .
",10 11,,R:OTHER,,
"When Marine was three years old a man came to their house and sad that he is Marine 's father and wo nt to take her . and he added that he leave Marine because her mother was dead two days after Marine 's birth .
",13 14,,R:OTHER,,
"When Marine was three years old a man came to their house and sad that he is Marine 's father and wo nt to take her . and he added that he leave Marine because her mother was dead two days after Marine 's birth .
",21 23,,R:OTHER,,
"When Marine was three years old a man came to their house and sad that he is Marine 's father and wo nt to take her . and he added that he leave Marine because her mother was dead two days after Marine 's birth .
",37 39,,R:OTHER,,
"After I told the reality the Pat .
",3 7,,R:OTHER,,
"Pat said this the Marine .
",3 4,,R:OTHER,,
"When I was 17 years old , I could be able to won swimming competition which is held in local stadium .
",8 12,,U:OTHER,,
"I look forward to joining the camp . I 've been always wanting to go U.S.A. It must be good chance to join the camp .
",10 13,,R:OTHER,,
"And they are always doing best their homeworks .
",2 5,,R:OTHER,,
"And they are always doing best their homeworks .
",5 8,,R:OTHER,,
", , By the way , I did n't see any discounts for buying tickets .
",12 14,,R:OTHER,,
"One more thing , the theatre restaurant was closed when I get there for a glass of drink , I do n't know why , there was no written notes or information about that .
",15 17,,U:OTHER,,
"I told her the reason that I had to miss the work .
",5 6,,R:OTHER,,
"All I know is about drug smuggling , that he involved .
",4 4,,M:OTHER,,
"Yesterday morning , I went to toilet , I overherd two people talking about my son I felt pity on myself and I burst into tears . I quickly got out of toilet .
",18 19,,R:OTHER,,
"On the advertisement it had been written that there would have been Danny Brook too .
",8 14,,R:OTHER,,
"When I entered I did n't get the discount ( as it has been written ! ! ) The show had to started at 19:30 and I arrived before , frightened not to find a good place to see "" my hero "" .
",10 11,,R:OTHER,,
"I have waited for the show beginning until 20:15 ! ! ! !
",6 7,,R:OTHER,,
"Is it a correct thing ?
",1 5,,R:OTHER,,
"They have taken a big progress in our every day life and they have always become more important for us .
",13 16,,R:OTHER,,
"If you think that fifty years ago , when there were n't cars or any sort of comfort ( born just in the "" industrial age "" ) everything had to be done by hands or by animal work : I think in that time life was really harder than now ! We have to say that technological searches have taken in our society "" their good fruits "" but , at the same time , negative aspects too .
",60 62,,R:OTHER,,
"If you think that fifty years ago , when there were n't cars or any sort of comfort ( born just in the "" industrial age "" ) everything had to be done by hands or by animal work : I think in that time life was really harder than now ! We have to say that technological searches have taken in our society "" their good fruits "" but , at the same time , negative aspects too .
",76 76,,M:OTHER,,
"I know I 'm "" daughter of this techological world "" and unluckly I think I could'n stay without it : it 's rather strange that today there 's already somebody without phone , dishwasher , TV ... But , sometimes I ask myself if the "" ancient world "" , without science , technological discoveries and industries was more authentic than the our one .
",16 17,,R:OTHER,,
"The show is going to be in Central Exhibition Hall on Tuesday 14th March from 10.00 - 19.00 .. The entry for students is free . I would suggest to visit the Science Museum , which was planned for Tuesday , on Wednesday afternoon .
",36 39,,R:OTHER,,
"The moment I saw the advertisement about one of the seven world wonders , I knew , I had to see it .
",11 13,,R:OTHER,,
"One man came out from a small building .
",0 1,,R:OTHER,,
"I swore to myself , I would never ever take a plane like this again .
",9 10,,R:OTHER,,
"As I 'm an artist student in a particular College , I only can go to your Camp California in July , because in this month I got no class , and I 'm free to do whatever I want to .
",27 29,,R:OTHER,,
"They fit to myself because my art work develops itself in these areas .
",1 3,,R:OTHER,,
"In Painting I talk about human beings in this world , in big canvases ; and in Photography , with Collages , I talk about anger and guilty in the families ' lines .
",27 28,,R:OTHER,,
"So in Camp California I would like to keep me on touching to these areas .
",10 13,,R:OTHER,,
"In summarize , art and music need to be kept with me throughout these two weeks to not forget my artistic life .
",16 17,,R:OTHER,,
"What we like is based in our relationship to another people , in the work or in the family .
",9 10,,R:OTHER,,
"What we like is based in our relationship to another people , in the work or in the family .
",12 14,,R:OTHER,,
"So we have enjoyable when we buy what we like following another people 's views .
",3 4,,R:OTHER,,
"So we have enjoyable when we buy what we like following another people 's views .
",10 11,,R:OTHER,,
"So we have enjoyable when we buy what we like following another people 's views .
",11 12,,R:OTHER,,
"It is an obligation shopping medicines , clothes to winter , doctor visites , and so forth .
",4 5,,R:OTHER,,
"In summarizing shopping can be enjoyable or not depending of our healthy state .
",1 2,,R:OTHER,,
"In summarizing shopping can be enjoyable or not depending of our healthy state .
",11 13,,R:OTHER,,
"Has your dog already recovered ?
",3 5,,R:OTHER,,
"And I think , I prooved you this .
",5 8,,R:OTHER,,
"It is very intresting for me how new works , there possiblyties .
",10 11,,R:OTHER,,
"I can travel only in July because I have holidays from my work only in this month .
",8 14,,R:OTHER,,
"By the Accomodation at the Camp , I would prefer the tents , because it is something different wich you do n't make everyday !
",0 1,,R:OTHER,,
"Singing because it 's my favourite hobby and I grew up with it and Swimming because I like water and the feeling that you have when you are in it .
",0 1,,M:OTHER,,
"Another reason for swimming is that I 'm good at it because a few years ago I had lessons , where I learn very good swimming .
",23 26,,R:OTHER,,
"Now you will by it but it 's nowhere to find !
",3 4,,R:OTHER,,
"That things had happend to everybody , had n't they ?
",0 1,,R:OTHER,,
"That things had happend to everybody , had n't they ?
",2 4,,R:OTHER,,
"But most teachers consult with their parents , so it they behave wrongly it is true teachers call their parents .
",9 10,,R:OTHER,,
"But people would like to change life style in their house because there haven't been convenient appliaces in their house yet .
",13 15,,R:OTHER,,
"So , I had a very disappointing evening and it would be very kind of you if you give me back the money .
",23 23,,M:OTHER,,
"I'am looking forward to hear you as soon as possible .
",0 1,,R:OTHER,,
"Your faithfully ,
",0 1,,R:OTHER,,
"Mine name is John and I have been in the latest International Arts Festival .
",0 1,,R:OTHER,,
"Finally , I just would like to recommend you not to give up showing movies , during the Festival because the crowds were amazed with that , and keep on offering the current prices , one of the best deal for us , the spectators .
",23 24,,R:OTHER,,
"If you would like to talk about my suggestions , please , do not hesitate and let me know .
",15 15,,M:OTHER,,
"Some examples could be delivering pizzas or newspapers , working as a bartender throug the nights , cleaning services , etc .
",13 14,,R:OTHER,,
"I usually call these jobs non- cualified positions .
",5 7,,R:OTHER,,
"I think , as a consecuence , that there is no difficulty in finding a job for our spare time .
",3 6,,R:OTHER,,
"And by that time I will have already some experience , so that I will more easily able to apply for a really good job .
",15 20,,R:OTHER,,
"So , Why do n't we think more about the future , instead of being upset of how to get some money to spend next party ?
",23 24,,R:OTHER,,
"On the other hand there were no discounts available , as a result I had to paid extra money for the tickets .
",0 4,,R:OTHER,,
"In conclusion it was n't a perfect evening , I did n't enjoy it at all due to the failure advertisement .
",19 20,,R:OTHER,,
"Your sincerely
",0 1,,R:OTHER,,
"As a result the only way to get into the building was at the top of the build .
",0 3,,R:OTHER,,
"At the end of the show , I decided to have dinner in your theatre restaurant and I went there ... just to find out that it was closed because it was being newly painted .
",33 35,,R:OTHER,,
"I was very disappointed to learn that I 'd only won three hundred francs for many people had found five numbers like me .
",15 16,,R:OTHER,,
"We had the opportunity to read your programme and we are happy because it is very good organized .
",16 17,,R:OTHER,,
"We especially like the National Art gallery .
",3 3,,M:OTHER,,
"For the students it is free .
",0 6,,R:OTHER,,
"I knew that my brother was at home , althoug I did n't know where .
",15 15,,M:OTHER,,
"I came out of my room and I saw my brother n fire .
",11 12,,R:OTHER,,
"We were shocked , we all did n't know what to do .
",4 9,,R:OTHER,,
"Since that bad experience he never playied with fire again .
",5 7,,R:OTHER,,
"I really like my brother and I would do anything possible to save him .
",2 3,,R:OTHER,,
"However , we do all have a request to ask you .
",9 10,,R:OTHER,,
"Why medias are so interesting in famous people ?
",1 3,,R:OTHER,,
"It must be very exhausted to have the medias around you days and nights because you ca n't be yourself , you have to show your best side and character .
",11 14,,R:OTHER,,
"In my opinion it should be a rule which let the medias approach famous people almost anywhere except in their private home to leave them at least one place to feel safe .
",3 4,,R:OTHER,,
"Also , there was said to be discounts for the ticket but I saw nothing like this .
",2 3,,R:OTHER,,
"Your faithfully ,
",0 1,,R:OTHER,,
"One day , while he was gardening , he saw an old lady being kidnapped by some strange man , who he ran after and caught one of whom .
",25 29,,R:OTHER,,
"According with your letter , July is the period of time suits me best .
",8 10,,U:OTHER,,
"If is possible I would like swimming .
",6 7,,R:OTHER,,
"By the way , I would like to know if the level of life in USA is similar to UK .
",11 14,,R:OTHER,,
"Normally I enjoy really much shopping .
",2 5,,R:OTHER,,
"I do n't like when I have to try on differents sizes because the small does n't fit on my body because I have got weight .
",18 21,,R:OTHER,,
"I do n't like when I have to try on differents sizes because the small does n't fit on my body because I have got weight .
",24 25,,R:OTHER,,
"Many times we buy things that in fact , we do n't need and , sometimes you surprise when you check the balance of your bank account and then you need to cut down your expenses for 2 months .
",6 8,,R:OTHER,,
"But from another point of view , it is silly to be earning money and do n't spend it as you want .
",15 18,,R:OTHER,,
"Thank 's for accept me in the competition .
",0 2,,R:OTHER,,
"I hear that the competition there are very good , and the Camp California is very famous for his competitions .
",11 12,,R:OTHER,,
"I will choose for activities tennis and swimming , I 'm good on tennis because I play since 1990 and I loved it and swimming because I like to swim and I 've been two competition and I won both .
",24 24,,M:OTHER,,
"Thanks for all , and I will be there the next month .
",2 3,,R:OTHER,,
"Your sincerely
",0 1,,R:OTHER,,
"For me went to shop it 's not the best thing I can do .
",3 5,,R:OTHER,,
"For me went to shop it 's not the best thing I can do .
",5 7,,R:OTHER,,
"Well I think the opposite like a year before but recently I think this because I see all the people to go shopping they do n't realised that they are outside in the real world poor people who need that money and they are only spent on material things , you would put you money in the bank because you do n't need it now , but tomorrow you do n't know .
",8 9,,R:OTHER,,
"Well I think the opposite like a year before but recently I think this because I see all the people to go shopping they do n't realised that they are outside in the real world poor people who need that money and they are only spent on material things , you would put you money in the bank because you do n't need it now , but tomorrow you do n't know .
",28 30,,U:OTHER,,
"Well I think the opposite like a year before but recently I think this because I see all the people to go shopping they do n't realised that they are outside in the real world poor people who need that money and they are only spent on material things , you would put you money in the bank because you do n't need it now , but tomorrow you do n't know .
",35 35,,M:OTHER,,
"Well I think the opposite like a year before but recently I think this because I see all the people to go shopping they do n't realised that they are outside in the real world poor people who need that money and they are only spent on material things , you would put you money in the bank because you do n't need it now , but tomorrow you do n't know .
",41 42,,R:OTHER,,
"I like to shop sometimes but not always and not spending a lot of money on things that I do n't really need .
",9 10,,R:OTHER,,
"With reference to the letter from you . I would like to inform some further information as follow .
",13 13,,M:OTHER,,
"First of all , I am able to joy the camp only in July because then will be my school holiday .
",15 16,,R:OTHER,,
"I would prefer tents to long cabins because I think it will be more interesting and exciting than live in long cabins .
",5 6,,R:OTHER,,
"I would prefer tents to long cabins because I think it will be more interesting and exciting than live in long cabins .
",18 19,,R:OTHER,,
"I would prefer tents to long cabins because I think it will be more interesting and exciting than live in long cabins .
",20 21,,R:OTHER,,
"Some people when they are in a sadness , they will go shopping to forget every thing and the fact is that every body knows how to shopping .
",2 13,,R:OTHER,,
"Anyway , even in families they usauly have this problem that when they bought a new one , suddenly they have a problem that where the old one is going to be and that is the begining of argument between mother and farther or parents and chilldren .
",23 24,,R:OTHER,,
"Anyway , even in families they usauly have this problem that when they bought a new one , suddenly they have a problem that where the old one is going to be and that is the begining of argument between mother and farther or parents and chilldren .
",42 43,,R:OTHER,,
"Eventually I like shopping to and I beleive every body like shopping , but before you buy something think before you will not have any problems after that and the most important thing is make sure you have enough meney for survive .
",4 5,,R:OTHER,,
"Eventually I like shopping to and I beleive every body like shopping , but before you buy something think before you will not have any problems after that and the most important thing is make sure you have enough meney for survive .
",10 11,,R:OTHER,,
"Eventually I like shopping to and I beleive every body like shopping , but before you buy something think before you will not have any problems after that and the most important thing is make sure you have enough meney for survive .
",19 20,,R:OTHER,,
"About the two activities I need to select , I think the best one are swimming and painting . I choose swimming because I really love doing it , I used to swim every day in the sea a few years ago , I felt really healthy .
",13 14,,R:OTHER,,
"A thing I would like ask is if I need special clothes , I do n't know what kind of camp I am going .
",0 1,,R:OTHER,,
"It should be a dry place , I think but I would like to make sure my guess , as well , I would like to know how much money I will need , because it is also all paid I do n't know if there will be some gift shops .
",16 18,,U:OTHER,,
"It should be a dry place , I think but I would like to make sure my guess , as well , I would like to know how much money I will need , because it is also all paid I do n't know if there will be some gift shops .
",18 21,,R:OTHER,,
"The most popular "" sport "" that all the people do it 's obiously shopping .
",7 10,,R:OTHER,,
"The most popular "" sport "" that all the people do it 's obiously shopping .
",11 13,,R:OTHER,,
"This is the thing that move hundred and hundreds of people in the world and we do n't have to go to Japan we have the evidences here in England .
",6 7,,R:OTHER,,
"I do n't thing that I 'll enjoy it , all the people knicking you , you ca n't walk properly or buy something , and also there are lot of cases which show how people can be in shops , I mean that some people can fight to get something .
",3 4,,R:OTHER,,
"In my opinion shopping is not the thing that I would like to do in my free time . I think that it 's too stressful , too many people in the shops , so I prefer spend my free time go swimming or painting and I go shopping in the days that usually there are not too many people .
",27 27,,M:OTHER,,
"In my opinion shopping is not the thing that I would like to do in my free time . I think that it 's too stressful , too many people in the shops , so I prefer spend my free time go swimming or painting and I go shopping in the days that usually there are not too many people .
",52 53,,R:OTHER,,
"I'am really surprising and happy about it .
",0 1,,R:OTHER,,
"Unfortunately , I have only the possibility to travel in July because in August I will start a new job for six months . I wo n't be free , however all July I am at home .
",5 7,,U:OTHER,,
"For accommodations at this camp , I would prefer being in a tent to being in a log cabin .
",0 1,,R:OTHER,,
"It is more amusing and friendly .
",3 4,,R:OTHER,,
"It is more amusing and friendly .
",5 6,,R:OTHER,,
"The first one is a needless for me .
",3 3,,M:OTHER,,
"I go every day swimming one Mile .
",5 5,,M:OTHER,,
"The last summer I won a prize in competition of swimming .
",8 11,,R:OTHER,,
"I like go in nature and make photography .
",3 5,,R:OTHER,,
"Could you tell me if you would lend me some material for photography ?
",10 13,,R:OTHER,,
"I was already happy to help in such a big concert than the Mylene Farmer 's concert .
",7 17,,R:OTHER,,
"I was starting to sell the tickets when a person who organised told me to go into the lodge .
",8 12,,R:OTHER,,
"Are you thinking ?
",0 3,,R:OTHER,,
"I 'm writing just for the reason , to inform you how bad became the present , name "" OVER THE RAINBOW "" .
",5 6,,R:OTHER,,
"I 'm writing just for the reason , to inform you how bad became the present , name "" OVER THE RAINBOW "" .
",16 16,,M:OTHER,,
"I 'm writing just for the reason , to inform you how bad became the present , name "" OVER THE RAINBOW "" .
",17 18,,R:OTHER,,
"Another thing was the started time , the show started forty five minutes late .
",6 6,,M:OTHER,,
"When the play "" over the Rainbow "" finished I tried to eat something , but the fact was that the theatre restaurant was closed , because your personal were cleaning all the troubles that a old dog did .
",28 29,,R:OTHER,,
"Hope hearing from you .
",1 2,,R:OTHER,,
"The machine worked really good .
",4 5,,R:OTHER,,
"I am very happy to here from you that I have won first prize in your competition - twe weeks at Camp California in the U.S.A. and I am writing for my information to tell you .
",5 6,,R:OTHER,,
"When I go to camp , I stay in a log cabins all the time so I would like to try different way to stay , this time .
",3 5,,R:OTHER,,
"When I go to camp , I stay in a log cabins all the time so I would like to try different way to stay , this time .
",24 25,,R:OTHER,,
"Your sincerely
",0 1,,R:OTHER,,
"In front of the stage was so many people and they could n't see them very well , but I was at very near from the stage and I could see them just there .
",0 9,,R:OTHER,,
"At first , I am very happy to win this first prize and as expected I 'm following your instruction .
",0 2,,R:OTHER,,
"From the 10 opitions that I have to chose I will chose two , climbing , wich I have been praticing for three years and because that I know by heart how to do it , and swimming wich I have also been doing every day in my daily rotine in Portugal .
",29 35,,R:OTHER,,
"From the 10 opitions that I have to chose I will chose two , climbing , wich I have been praticing for three years and because that I know by heart how to do it , and swimming wich I have also been doing every day in my daily rotine in Portugal .
",46 47,,R:OTHER,,
"I would like to know about wich sort of close I have got to take ?
",6 7,,R:OTHER,,
"I would like to know about wich sort of close I have got to take ?
",9 10,,R:OTHER,,
"Allreggards
",0 1,,R:OTHER,,
"People must get some rest often , and as a result they look forward some happiness at the free time such as , party , games , and every one loves party , it should have been filmed .
",32 34,,R:OTHER,,
"Further , we can get many information as you like at a moment with internet .
",5 6,,R:OTHER,,
"But I must accept that there are some disadvantages caused by the technology , as well .
",9 11,,R:OTHER,,
"I recive a paper where I was told about a play you are presenting and of the advantages I would recive if I go to see it , think that never happend .
",4 5,,R:OTHER,,
"I recive a paper where I was told about a play you are presenting and of the advantages I would recive if I go to see it , think that never happend .
",13 14,,R:OTHER,,
"I recive a paper where I was told about a play you are presenting and of the advantages I would recive if I go to see it , think that never happend .
",30 32,,R:OTHER,,
"First of all , in the sheet I recived , it says that DANNY BROOK was one of the actor , thing that is not true , because insted of him , there was another actor , that I do n't know what 's his name is .
",20 23,,R:OTHER,,
"First of all , in the sheet I recived , it says that DANNY BROOK was one of the actor , thing that is not true , because insted of him , there was another actor , that I do n't know what 's his name is .
",37 38,,R:OTHER,,
"Second , it says that the play would start at 19:30 , and it realy started at 20:15 .
",14 15,,R:OTHER,,
"You can see that you promise me I 'll have a good evening and I realy do n't have it .
",18 20,,U:OTHER,,
"I have been told that they will interview a lot of people of different part that have read the book , and tell their experience .
",22 22,,M:OTHER,,
"Also , that they would invite psicologist , the Autor of the book and may be the president would talk so I recommend you to hear it .
",24 26,,R:OTHER,,
"I hope you listen to it , because I thing that if you want to become a M.P. , it will teach you a lot of thing , and you would learn more about England reality .
",9 10,,R:OTHER,,
"I am writing this letter to let you know my decision about your letter , which I have received recently .
",12 12,,M:OTHER,,
"I might say that I am really good at swimming and sailling because I have been joining these kinds of activities for five year and I had really good training about sea - sports .
",31 33,,R:OTHER,,
"I 'd like to tell you about what exciting experience I had last month during a pop concert .
",7 8,,R:OTHER,,
"I helped to carry huge speakers to the concert venue . Than I was told to stay in front of the entrance door and check the tickets .
",11 12,,R:OTHER,,
"The party in on Tuesday 16 of June .
",2 3,,R:OTHER,,
"You should come on 3 pm in college Canteen .
",3 9,,R:OTHER,,
"Furthermore , we do n't know what present buying for him .
",8 9,,R:OTHER,,
"Especially younger 's life has been very difficult the last years .
",0 1,,R:OTHER,,
"Especially younger 's life has been very difficult the last years .
",1 2,,R:OTHER,,
"Apart from this , parents could be very helpful to their children with difficulties of school .
",12 13,,R:OTHER,,
"Definately , they do n't give real solutions and advice .
",0 3,,R:OTHER,,
"There is a chance not to be so good friends and imitate that they are .
",4 4,,M:OTHER,,
"There is a chance not to be so good friends and imitate that they are .
",4 7,,R:OTHER,,
"There is a chance not to be so good friends and imitate that they are .
",7 8,,R:OTHER,,
"About the acomodation , I would prefer a log cabin instead of a tent so as to get a better rest . I 've got some problem to sleep and a log cabin will be more peaceful than a ten .
",0 1,,R:OTHER,,
"About the acomodation , I would prefer a log cabin instead of a tent so as to get a better rest . I 've got some problem to sleep and a log cabin will be more peaceful than a ten .
",39 40,,R:OTHER,,
"I 'm rather trained in climbing , I have done it once a mounth since I was 17 .
",3 4,,R:OTHER,,
"A good idea to start will be a clock alarm ringing close to his bed , because that 's the way everyone get up in the morning , ( unless the people who do n't do anythink )
",7 10,,R:OTHER,,
"A good idea to start will be a clock alarm ringing close to his bed , because that 's the way everyone get up in the morning , ( unless the people who do n't do anythink )
",29 30,,R:OTHER,,
"After that , we should have a morning view of one of the most busiest London tube station in order to show stressed people going in and out , Including our protagonist going out peacefully with a couple of books on his hand - then the school 's door , and him going in .
",29 30,,R:OTHER,,
"Second of all , I would prefer to stay in log cabins to staying in tents , since I have had a horrible experience being attaked by a herd of midges , when I camped out .
",0 3,,R:OTHER,,
"Furthermore less numbers of students were nodding off comparing with other classes like Maths .
",2 4,,U:OTHER,,
"The whole point of making a video is to tell people that we are not only bugs of books but also enjoying our school life .
",16 19,,R:OTHER,,
"I would be grateful if you could send a money back because it was a horrible evening for my family and it was n't a perfect evening out .
",8 9,,R:OTHER,,
"The science and technology have changed my life every day .
",7 10,,R:OTHER,,
"The modern technologies are used all the time at home , at school or working .
",0 3,,R:OTHER,,
"Actually , I can work with it in my office and visitting some web - place using the new technologies such as internet .
",13 16,,R:OTHER,,
"The live is more comfortable with all the new machines you can use at home , at the office or it is helful to live with all the new medical machines in the hospitals .
",0 2,,R:OTHER,,
"The live is more comfortable with all the new machines you can use at home , at the office or it is helful to live with all the new medical machines in the hospitals .
",20 21,,R:OTHER,,
"The live is more comfortable with all the new machines you can use at home , at the office or it is helful to live with all the new medical machines in the hospitals .
",21 23,,R:OTHER,,
"Air - pollution might become more serious than now in the future and destruction of ozon - zone could not be stopped in 100 years .
",15 18,,R:OTHER,,
"Of course , technologies will have developped enough to invent new material for those kind of clothes .
",8 8,,M:OTHER,,
"We will feel as if we put on nothing .
",6 8,,R:OTHER,,
"In conclusion , clothes after 100 years will not as fashionable as they are now .
",3 7,,R:OTHER,,
"What is more you advertize there were discounts available but it were not .
",10 11,,R:OTHER,,
"Your faithfully ,
",0 1,,R:OTHER,,
"Finally we had no perfect evening at all !
",2 4,,R:OTHER,,
"It was quiet scary for me , but I said to myself , come on you can do it .
",2 3,,R:OTHER,,
"I was so worried not to find the way out , that I started to scream and cry .
",4 4,,M:OTHER,,
"When the show started I was on the stage close to famous singers , Bono Vox and David Bowie .
",11 11,,M:OTHER,,
"I think I wo n't never forget that evening .
",1 6,,R:OTHER,,
"First of all , I prefer travelling in July , because it will be my school vacation and I 'm not allowed to travel during school times .
",14 16,,R:OTHER,,
"I have already surfed when I was travelling in Brazil , but since them I have had n't a chance to do it again .
",13 14,,R:OTHER,,
"I have already surfed when I was travelling in Brazil , but since them I have had n't a chance to do it again .
",15 18,,R:OTHER,,
"Although I know how surfing , I have no idea about sailing , I just only read about it and I am very interested to practice .
",4 5,,R:OTHER,,
"Although I know how surfing , I have no idea about sailing , I just only read about it and I am very interested to practice .
",14 15,,R:OTHER,,
"Although I know how surfing , I have no idea about sailing , I just only read about it and I am very interested to practice .
",24 26,,R:OTHER,,
"What is more appropiated ?
",2 4,,R:OTHER,,
"Shopping is said that an enjoyable programme in all situations .
",3 4,,R:OTHER,,
"You ca n't talk to manager even to give him suggestions to improve his business , because he is always absent .
",11 11,,M:OTHER,,
"In the advertisement of the show , you said it would begin at 19.30 , actually it was 45 minutes delay .
",18 21,,R:OTHER,,
"If I can not get your satisfying reply within a month I shall go to the consumer protection organisation to sue you .
",6 7,,R:OTHER,,
"I have been an enthusiast of music for a long time , I used tape player and I felt it was excellent .
",3 7,,R:OTHER,,
"Today , there are multi - choices such as discman ( CD player ) .
",4 6,,R:OTHER,,
"Especially the improvement of personal computer has greatly helped the spread of information by using internet , you can book newspaper , magazines , even go shopping online .
",0 1,,R:OTHER,,
"Especially the improvement of personal computer has greatly helped the spread of information by using internet , you can book newspaper , magazines , even go shopping online .
",3 3,,M:OTHER,,
"Especially the improvement of personal computer has greatly helped the spread of information by using internet , you can book newspaper , magazines , even go shopping online .
",21 22,,R:OTHER,,
"I am very happy an exciting about it .
",4 5,,R:OTHER,,
"I can only travel during July because I have many A - levels examinations to take during June .
",9 10,,R:OTHER,,
"I am a captain of school 's basketball team and we have won many competitions .
",13 14,,R:OTHER,,
"I did n't get involved that much in writing a script because it was very hard and the director wrote most of it but the main idea of the background of the stage was my , and I am very proud of it .
",34 35,,R:OTHER,,
"First of all , according to your letter you asked me my prefered travel dates .
",4 6,,R:OTHER,,
"At first , I applyed for the volenteer at the pop concert and then I got a responsibility for control the audience .
",5 8,,R:OTHER,,
"I 'll tell you more experience on next letter .
",5 5,,M:OTHER,,
"Best whishes
",1 2,,R:OTHER,,
"I was very interested in the ticket of Festival .
",6 9,,R:OTHER,,
"It was not expensive and easy to use , because it was only one for all the events .
",10 11,,R:OTHER,,
"I think it would be interesting to invite young compositors to hear news from the classical music .
",12 13,,R:OTHER,,
"For the time that I will spend there I would like to chose more the two activities but I know is not possible so I chose swimming and singing .
",14 15,,R:OTHER,,
"I usualy sing in my spare time and my friends love when I sing and about swimming I was champion last year in my city .
",15 16,,R:OTHER,,
"Will I need to go with how much money ?
",0 9,,R:OTHER,,
"Is necessery tablets ( for headach , insects ) ?
",0 3,,R:OTHER,,
"Firstly we should film our school to show how important it is for our growing .
",14 15,,R:OTHER,,
"A good place to be filmed is our Geography class .
",4 6,,R:OTHER,,
"Will be great because teachers are part of our life and they have to receive all our attention and friendship because if are not them we will never grow and learn how to live our lives more confidents and with lots of good experiences that we will never forget .
",22 24,,R:OTHER,,
"The proposal of reasonably - piced package including tickets and accomodations , well supported my personal organization : comfortable rooms easy to reach and booked tickets can help you if you decide at last minute .
",1 3,,U:OTHER,,
"The proposal of reasonably - piced package including tickets and accomodations , well supported my personal organization : comfortable rooms easy to reach and booked tickets can help you if you decide at last minute .
",20 20,,M:OTHER,,
